"","chr","start","end","Cn_R_group"
"union_peak_8649","chr13",24230588,24231603,"DE"
"union_peak_8660","chr13",24486974,24488062,"B"
"union_peak_8667","chr13",24546745,24547552,"DEF"
"union_peak_8678","chr13",24631362,24631851,"D"
"union_peak_8679","chr13",24634258,24634987,"D"
"union_peak_8689","chr13",24920302,24921920,"E"
"union_peak_8696","chr13",28417342,28418846,"EF"
"union_peak_8699","chr13",28512292,28513372,"DEF"
"union_peak_8700","chr13",28551400,28552235,"DEF"
"union_peak_8705","chr13",28949607,28950727,"DEF"
"union_peak_8706","chr13",28953331,28954242,"DEF"
"union_peak_8722","chr13",30609430,30610261,"AB"
"union_peak_8724","chr13",30625026,30625994,"AB"
"union_peak_8731","chr13",30691614,30693531,"ABC"
"union_peak_8749","chr13",31503215,31504782,"DEF"
"union_peak_8750","chr13",31505050,31505813,"DEF"
"union_peak_8751","chr13",32268112,32269462,"AB"
"union_peak_8760","chr13",32965269,32966875,"AB"
"union_peak_8762","chr13",32981658,32983561,"ABC"
"union_peak_8763","chr13",32993177,32994076,"ABC"
"union_peak_8764","chr13",33001137,33002063,"C"
"union_peak_8767","chr13",33071406,33072662,"ABC"
"union_peak_8823","chr13",38049525,38050353,"C"
"union_peak_8826","chr13",38334872,38335883,"AB"
"union_peak_8827","chr13",38501182,38501968,"A"
"union_peak_8828","chr13",38503315,38503998,"A"
"union_peak_8838","chr13",40917001,40918497,"ABC"
"union_peak_8840","chr13",40923517,40924485,"ABC"
"union_peak_8845","chr13",41367135,41367956,"A"
"union_peak_8860","chr13",41947973,41948911,"DEF"
"union_peak_8876","chr13",43239649,43240542,"ABC"
"union_peak_8877","chr13",43243031,43243930,"A"
"union_peak_8878","chr13",43246635,43247055,"AC"
"union_peak_8880","chr13",43260951,43262298,"ABC"
"union_peak_8882","chr13",43300754,43301419,"A"
"union_peak_8893","chr13",43485111,43485758,"A"
"union_peak_8899","chr13",43614882,43615966,"DEF"
"union_peak_8900","chr13",43774698,43775606,"E"
"union_peak_8901","chr13",43788563,43789445,"DEF"
"union_peak_8904","chr13",44065500,44066365,"DEF"
"union_peak_8906","chr13",44248845,44249889,"DEF"
"union_peak_8914","chr13",44799074,44800870,"DE"
"union_peak_8923","chr13",45156290,45157517,"E"
"union_peak_8928","chr13",45442563,45443781,"AB"
"union_peak_8931","chr13",45623589,45624448,"B"
"union_peak_8932","chr13",45648831,45649880,"ABC"
"union_peak_8933","chr13",45692900,45694439,"ABC"
"union_peak_8938","chr13",45850360,45852519,"AB"
"union_peak_8941","chr13",45866911,45867624,"ABC"
"union_peak_8950","chr13",45910984,45911638,"A"
"union_peak_8951","chr13",45917030,45917896,"ABC"
"union_peak_8955","chr13",45935498,45936677,"AC"
"union_peak_8964","chr13",46364373,46365060,"B"
"union_peak_8968","chr13",46690513,46691675,"E"
"union_peak_8972","chr13",46779684,46780483,"DEF"
"union_peak_8974","chr13",46930188,46931147,"DE"
"union_peak_8990","chr13",48863115,48864305,"DEF"
"union_peak_9025","chr13",51472352,51473363,"A"
"union_peak_9028","chr13",51597959,51598644,"C"
"union_peak_9033","chr13",51676828,51677644,"ABC"
"union_peak_9036","chr13",51736315,51736847,"A"
"union_peak_9040","chr13",51754225,51755428,"A"
"union_peak_9044","chr13",51780245,51781077,"E"
"union_peak_9054","chr13",51935659,51936806,"A"
"union_peak_9059","chr13",52026035,52026862,"D"
"union_peak_9065","chr13",52083609,52084728,"DEF"
"union_peak_9066","chr13",52099786,52100694,"DEF"
"union_peak_9070","chr13",52627767,52628757,"DEF"
"union_peak_9071","chr13",52635031,52636213,"DEF"
"union_peak_9072","chr13",52721248,52722211,"DE"
"union_peak_9074","chr13",52793215,52794335,"E"
"union_peak_9075","chr13",52800340,52801297,"E"
"union_peak_9085","chr13",52913783,52914832,"ABC"
"union_peak_9093","chr13",53000340,53002008,"B"
"union_peak_9095","chr13",53057037,53057765,"A"
"union_peak_9096","chr13",53064979,53066177,"ABC"
"union_peak_9100","chr13",54073412,54074097,"A"
"union_peak_9104","chr13",54209284,54210328,"AB"
"union_peak_9149","chr13",55640381,55641353,"A"
"union_peak_9159","chr13",56153256,56153933,"ABC"
"union_peak_9162","chr13",56476460,56477452,"DEF"
"union_peak_9163","chr13",56506696,56507711,"DEF"
"union_peak_9166","chr13",58067174,58068247,"E"
"union_peak_9201","chr13",60895456,60896484,"AC"
"union_peak_9203","chr13",60935352,60937168,"AC"
"union_peak_9224","chr13",63189285,63190134,"A"
"union_peak_9229","chr13",63245745,63247150,"ABC"
"union_peak_9232","chr13",63274403,63275360,"A"
"union_peak_9259","chr13",64252212,64253091,"DE"
"union_peak_9269","chr13",65069601,65070741,"AB"
"union_peak_9331","chr13",73702424,73704088,"DEF"
"union_peak_9332","chr13",73709350,73710699,"DEF"
"union_peak_9367","chr13",75845256,75846126,"A"
"union_peak_9386","chr13",81675317,81676125,"DE"
"union_peak_9440","chr13",91483974,91484966,"E"
"union_peak_9446","chr13",91814342,91815114,"DEF"
"union_peak_9460","chr13",93093535,93095786,"ABC"
"union_peak_9475","chr13",93762758,93763500,"ABC"
"union_peak_9476","chr13",93764381,93765269,"ABC"
"union_peak_9477","chr13",93770722,93772562,"ABC"
"union_peak_9480","chr13",93814500,93815587,"A"
"union_peak_9483","chr13",93898184,93899115,"AB"
"union_peak_9498","chr13",95449015,95450177,"DE"
"union_peak_9510","chr13",95703364,95704546,"A"
"union_peak_9514","chr13",95764662,95765811,"B"
"union_peak_9519","chr13",95912734,95913805,"A"
"union_peak_9528","chr13",95986970,95988896,"ABC"
"union_peak_9532","chr13",96510295,96511644,"AB"
"union_peak_9541","chr13",96955919,96957247,"E"
"union_peak_9544","chr13",96994948,96995840,"DEF"
"union_peak_9563","chr13",97857436,97858481,"A"
"union_peak_9564","chr13",97902832,97904125,"A"
"union_peak_9570","chr13",98290697,98292264,"AB"
"union_peak_9574","chr13",98691766,98692652,"AC"
"union_peak_9581","chr13",98832224,98833327,"ABC"
"union_peak_9625","chr13",101658816,101659715,"A"
"union_peak_9630","chr13",101706146,101707915,"ABC"
"union_peak_9658","chr13",105066628,105067799,NA
"union_peak_9666","chr13",107059107,107060111,"DE"
"union_peak_9668","chr13",107094235,107095983,"C"
"union_peak_9678","chr13",107868635,107869590,"D"
"union_peak_9701","chr13",108338098,108339058,"AB"
"union_peak_9704","chr13",108596570,108597586,"F"
"union_peak_9708","chr13",108861667,108862640,"A"
"union_peak_9716","chr13",109546388,109548414,"E"
"union_peak_9730","chr13",111257756,111258636,"A"
"union_peak_9753","chr13",112062313,112064328,"D"
"union_peak_9754","chr13",112133673,112134368,"DEF"
"union_peak_9762","chr13",112396342,112399268,"ABC"
"union_peak_9766","chr13",112427218,112427946,"D"
"union_peak_9776","chr13",112507468,112509650,"E"
"union_peak_9788","chr13",113046750,113047543,"B"
"union_peak_9789","chr13",113047817,113049108,"AB"
"union_peak_9790","chr13",113049980,113050725,"AB"
"union_peak_9791","chr13",113060929,113062324,"AB"
"union_peak_9792","chr13",113070493,113071971,"ABC"
"union_peak_9793","chr13",113087314,113088539,"ABC"
"union_peak_9794","chr13",113090140,113091166,"AB"
"union_peak_9795","chr13",113100731,113101414,"B"
"union_peak_9796","chr13",113101703,113102193,"B"
"union_peak_9797","chr13",113104205,113105409,"AB"
"union_peak_9798","chr13",113119754,113121226,"AB"
"union_peak_9801","chr13",113169815,113171116,"ABC"
"union_peak_9802","chr13",113180767,113181574,"AB"
"union_peak_9803","chr13",113182926,113184005,"ABC"
"union_peak_9805","chr13",113210420,113211919,"AB"
"union_peak_9807","chr13",113226781,113227836,"AB"
"union_peak_9808","chr13",113265200,113267243,"B"
"union_peak_9810","chr13",113548789,113549663,"A"
"union_peak_9813","chr13",113600489,113601831,"BC"
"union_peak_9822","chr13",113828415,113829861,"ABC"
"union_peak_9829","chr13",114151010,114151665,"DEF"
"union_peak_9830","chr13",114188530,114190054,"DEF"
"union_peak_9831","chr13",114304521,114305658,"AB"
"union_peak_9838","chr13",114885625,114887419,"AB"
"union_peak_9847","chr13",115096842,115099620,"ABC"
"union_peak_9848","chr13",115106904,115108054,"AB"
"union_peak_9849","chr13",115131242,115132008,"A"
"union_peak_9866","chr13",117260357,117261405,"AB"
"union_peak_9879","chr13",119599629,119600553,"A"
"union_peak_9882","chr13",119614205,119615226,"A"
"union_peak_9887","chr13",119651432,119652141,"A"
"union_peak_9888","chr13",119652949,119654076,"A"
"union_peak_9891","chr13",119706239,119707636,"E"
"union_peak_9905","chr14",7977203,7978448,"A"
"union_peak_9938","chr14",14706042,14706773,"AB"
"union_peak_9942","chr14",15272237,15273601,"DEF"
"union_peak_9953","chr14",16172533,16174069,"DEF"
"union_peak_9965","chr14",18001663,18002579,"DEF"
"union_peak_9967","chr14",18041638,18042537,"DEF"
"union_peak_9989","chr14",20168278,20169133,"AC"
"union_peak_9990","chr14",20173638,20175097,"ABC"
"union_peak_10030","chr14",21034161,21034924,"DEF"
"union_peak_10052","chr14",25161441,25162629,"ABC"
"union_peak_10057","chr14",25421586,25422745,"B"
"union_peak_10064","chr14",25516659,25517926,"AB"
"union_peak_10065","chr14",25521022,25521568,"AB"
"union_peak_10066","chr14",25522172,25522995,"ABC"
"union_peak_10067","chr14",25527303,25528124,"ABC"
"union_peak_10076","chr14",25640330,25641211,"A"
"union_peak_10077","chr14",25645579,25646754,"ABC"
"union_peak_10097","chr14",26921832,26923298,"AB"
"union_peak_10107","chr14",27192004,27193054,"ABC"
"union_peak_10122","chr14",27345225,27345757,"A"
"union_peak_10145","chr14",30427699,30428588,"DEF"
"union_peak_10166","chr14",31367558,31368316,"A"
"union_peak_10169","chr14",31413817,31415237,"E"
"union_peak_10170","chr14",31432903,31433827,"DE"
"union_peak_10175","chr14",31570248,31570870,"DEF"
"union_peak_10218","chr14",40929848,40930774,"DE"
"union_peak_10262","chr14",47361315,47362601,"ABC"
"union_peak_10263","chr14",47373498,47375280,"AB"
"union_peak_10264","chr14",47376289,47377086,"AB"
"union_peak_10265","chr14",47394997,47396730,"DEF"
"union_peak_10277","chr14",48271037,48271811,"DEF"
"union_peak_10283","chr14",49154971,49156312,"DE"
"union_peak_10286","chr14",49219790,49220291,"B"
"union_peak_10331","chr14",52342435,52343726,"ABC"
"union_peak_10366","chr14",54023914,54024761,"B"
"union_peak_10368","chr14",54040426,54042691,"A"
"union_peak_10433","chr14",55097763,55098504,"ABC"
"union_peak_10457","chr14",55764454,55765724,"A"
"union_peak_10469","chr14",55945055,55946746,"AB"
"union_peak_10473","chr14",56261808,56263033,"ABC"
"union_peak_10474","chr14",56265871,56266525,"AB"
"union_peak_10499","chr14",57712469,57713471,"AB"
"union_peak_10500","chr14",57718030,57718778,"AB"
"union_peak_10501","chr14",57724919,57725889,"AB"
"union_peak_10516","chr14",57971901,57972726,NA
"union_peak_10529","chr14",59552907,59554057,"ABC"
"union_peak_10536","chr14",60072261,60073345,"E"
"union_peak_10537","chr14",60117713,60118651,"DEF"
"union_peak_10559","chr14",61056256,61057447,"DE"
"union_peak_10570","chr14",61589259,61590215,"A"
"union_peak_10583","chr14",61997828,61998718,"A"
"union_peak_10604","chr14",63193628,63195898,"ABC"
"union_peak_10611","chr14",64392436,64393358,"DE"
"union_peak_10615","chr14",64486530,64487474,"DE"
"union_peak_10637","chr14",65100875,65101536,"A"
"union_peak_10638","chr14",65102155,65103033,"ABC"
"union_peak_10657","chr14",66189024,66189741,"DEF"
"union_peak_10664","chr14",66220968,66221651,"BC"
"union_peak_10689","chr14",67841425,67842632,"AB"
"union_peak_10691","chr14",67911393,67912334,"A"
"union_peak_10692","chr14",67932364,67933508,"AB"
"union_peak_10695","chr14",67950956,67952033,"AB"
"union_peak_10696","chr14",68034928,68036177,"AC"
"union_peak_10698","chr14",68050361,68051949,"ABC"
"union_peak_10704","chr14",69774154,69775549,"DEF"
"union_peak_10726","chr14",70333347,70334590,"A"
"union_peak_10727","chr14",70340908,70341702,"E"
"union_peak_10745","chr14",70795883,70796585,"ABC"
"union_peak_10746","chr14",70798313,70799224,"ABC"
"union_peak_10750","chr14",71112990,71114189,"AB"
"union_peak_10751","chr14",71120155,71121170,"AB"
"union_peak_10755","chr14",72777704,72778718,"ABC"
"union_peak_10757","chr14",72849976,72850803,"A"
"union_peak_10758","chr14",72862824,72863660,"A"
"union_peak_10759","chr14",72887356,72888200,"A"
"union_peak_10770","chr14",73127514,73128260,"AB"
"union_peak_10772","chr14",73161403,73162156,"DEF"
"union_peak_10773","chr14",73175516,73176280,"A"
"union_peak_10778","chr14",73289505,73290826,"AB"
"union_peak_10780","chr14",73311648,73312657,"AB"
"union_peak_10786","chr14",73398158,73399118,"AB"
"union_peak_10791","chr14",73475964,73477026,"ABC"
"union_peak_10797","chr14",73596482,73597195,"A"
"union_peak_10813","chr14",75005626,75006434,"A"
"union_peak_10819","chr14",75033010,75034659,"AB"
"union_peak_10828","chr14",75186045,75186979,"B"
"union_peak_10829","chr14",75192060,75193408,"ABC"
"union_peak_10845","chr14",75768958,75770051,"D"
"union_peak_10866","chr14",76700410,76701637,"A"
"union_peak_10878","chr14",77886073,77887518,"ABC"
"union_peak_10894","chr14",78618514,78619374,"DE"
"union_peak_10908","chr14",79226522,79227351,"DEF"
"union_peak_10910","chr14",79236135,79236901,"DEF"
"union_peak_10940","chr14",79590863,79591939,"D"
"union_peak_10949","chr14",87050686,87052160,"BC"
"union_peak_10958","chr14",99044810,99045491,"D"
"union_peak_10963","chr14",99418644,99419541,"DE"
"union_peak_10964","chr14",99449061,99450366,"DE"
"union_peak_10970","chr14",101878778,101879841,"BC"
"union_peak_10975","chr14",102982183,102983579,"E"
"union_peak_10977","chr14",103033121,103033922,"A"
"union_peak_10978","chr14",103048262,103049541,"A"
"union_peak_10995","chr14",103531550,103532659,"A"
"union_peak_11010","chr14",105271791,105272748,"AB"
"union_peak_11011","chr14",105287694,105288688,"B"
"union_peak_11017","chr14",106026691,106027905,"AB"
"union_peak_11024","chr14",115250378,115251480,"E"
"union_peak_11027","chr14",118123842,118125116,"C"
"union_peak_11031","chr14",118173240,118174177,"DE"
"union_peak_11042","chr14",118833871,118835298,"DE"
"union_peak_11044","chr14",118864370,118865494,"E"
"union_peak_11059","chr14",120313037,120314370,"DE"
"union_peak_11066","chr14",120519589,120521284,"ABC"
"union_peak_11075","chr14",121107346,121108349,"C"
"union_peak_11088","chr14",121408668,121409474,"B"
"union_peak_11095","chr14",121552526,121554204,"DEF"
"union_peak_11099","chr14",121710818,121711705,"A"
"union_peak_11108","chr14",121845643,121846722,"DE"
"union_peak_11113","chr14",121894941,121895935,"B"
"union_peak_11120","chr14",121934415,121935142,"ABC"
"union_peak_11129","chr14",121987400,121988245,"BC"
"union_peak_11137","chr14",122052340,122053782,"D"
"union_peak_11154","chr14",122787041,122788371,"DE"
"union_peak_11158","chr14",122901791,122902569,"DE"
"union_peak_11170","chr15",3270155,3271357,"EF"
"union_peak_11195","chr15",5561522,5562320,"E"
"union_peak_11196","chr15",5693580,5695565,"AB"
"union_peak_11200","chr15",5762158,5763177,"A"
"union_peak_11205","chr15",6519746,6520677,"B"
"union_peak_11206","chr15",6522376,6523513,"B"
"union_peak_11227","chr15",6726225,6726923,"DE"
"union_peak_11240","chr15",8568232,8569416,"DE"
"union_peak_11254","chr15",9532898,9533962,"D"
"union_peak_11266","chr15",9713719,9714817,"A"
"union_peak_11268","chr15",10035080,10036246,"BC"
"union_peak_11318","chr15",25216133,25216919,"DEF"
"union_peak_11328","chr15",25828259,25829370,"DEF"
"union_peak_11330","chr15",25844400,25845196,"DE"
"union_peak_11345","chr15",27624985,27625975,"ABC"
"union_peak_11360","chr15",27795936,27796677,"DEF"
"union_peak_11361","chr15",27799602,27800977,"C"
"union_peak_11362","chr15",27827075,27828738,"D"
"union_peak_11371","chr15",28189264,28190129,"D"
"union_peak_11387","chr15",31546212,31547561,"ABC"
"union_peak_11391","chr15",31649569,31650179,"DEF"
"union_peak_11420","chr15",36243393,36244485,"A"
"union_peak_11429","chr15",36363635,36364626,"AB"
"union_peak_11431","chr15",36395825,36397014,"DE"
"union_peak_11444","chr15",36647776,36649020,"AB"
"union_peak_11451","chr15",36719015,36719655,"AB"
"union_peak_11470","chr15",37435821,37437726,"B"
"union_peak_11471","chr15",37458076,37459737,"ABC"
"union_peak_11472","chr15",37461014,37461681,"ABC"
"union_peak_11480","chr15",38121502,38122847,"A"
"union_peak_11481","chr15",38143012,38143669,"A"
"union_peak_11486","chr15",38270460,38271405,"A"
"union_peak_11487","chr15",38282215,38283204,"A"
"union_peak_11492","chr15",38447141,38447998,"A"
"union_peak_11493","chr15",38470075,38471308,"A"
"union_peak_11500","chr15",38634690,38635892,"B"
"union_peak_11516","chr15",41856383,41857053,"A"
"union_peak_11528","chr15",50650209,50651311,"A"
"union_peak_11530","chr15",50667122,50668093,"A"
"union_peak_11543","chr15",51729755,51731447,"ABC"
"union_peak_11559","chr15",52753035,52754196,"A"
"union_peak_11564","chr15",53115286,53116073,"E"
"union_peak_11566","chr15",53140031,53141071,"DEF"
"union_peak_11570","chr15",53266879,53268158,"DE"
"union_peak_11571","chr15",53324510,53325349,"DEF"
"union_peak_11575","chr15",53491519,53492821,"ABC"
"union_peak_11590","chr15",55847105,55847473,"DE"
"union_peak_11608","chr15",57936362,57937422,"F"
"union_peak_11619","chr15",58174745,58175580,"DEF"
"union_peak_11623","chr15",58649688,58650477,"A"
"union_peak_11625","chr15",58684393,58685785,"BC"
"union_peak_11635","chr15",58927401,58928235,"AB"
"union_peak_11638","chr15",59010260,59011134,"EF"
"union_peak_11640","chr15",59081376,59082990,"EF"
"union_peak_11652","chr15",59524426,59525294,"E"
"union_peak_11653","chr15",59537714,59539012,"AC"
"union_peak_11656","chr15",59596155,59598162,"A"
"union_peak_11662","chr15",59707577,59708504,"AB"
"union_peak_11668","chr15",59761787,59762825,"A"
"union_peak_11669","chr15",59795148,59796469,"A"
"union_peak_11670","chr15",59913488,59914491,"DE"
"union_peak_11678","chr15",60122804,60123171,"B"
"union_peak_11697","chr15",61448282,61449049,"A"
"union_peak_11698","chr15",61481633,61482646,"DE"
"union_peak_11716","chr15",62145120,62146353,"AC"
"union_peak_11718","chr15",62164415,62165408,"E"
"union_peak_11737","chr15",63971390,63972081,"DE"
"union_peak_11745","chr15",64041227,64042330,"E"
"union_peak_11748","chr15",64067232,64068234,"D"
"union_peak_11749","chr15",64075085,64076301,"ABC"
"union_peak_11752","chr15",64106819,64107794,"DE"
"union_peak_11758","chr15",64211777,64212135,"A"
"union_peak_11760","chr15",64234789,64235855,"AB"
"union_peak_11761","chr15",64237556,64238422,"ABC"
"union_peak_11768","chr15",64389320,64390200,"EF"
"union_peak_11769","chr15",65726627,65727821,"DE"
"union_peak_11770","chr15",65731415,65732130,"DE"
"union_peak_11789","chr15",66718117,66719234,"AB"
"union_peak_11793","chr15",66788827,66789966,"AC"
"union_peak_11795","chr15",66799697,66800761,"A"
"union_peak_11797","chr15",66806082,66806933,"ABC"
"union_peak_11799","chr15",66815205,66816027,"AB"
"union_peak_11800","chr15",66824837,66826400,"AB"
"union_peak_11805","chr15",66861031,66862237,"AB"
"union_peak_11807","chr15",66883747,66884513,"A"
"union_peak_11808","chr15",66898725,66900105,"A"
"union_peak_11818","chr15",67153244,67153975,"A"
"union_peak_11819","chr15",67158463,67159185,"A"
"union_peak_11844","chr15",73117587,73118501,"DE"
"union_peak_11859","chr15",73423044,73424491,"DE"
"union_peak_11863","chr15",73522952,73523669,"DEF"
"union_peak_11910","chr15",75988850,75989689,"A"
"union_peak_11911","chr15",76037260,76038160,"A"
"union_peak_11925","chr15",76273591,76275228,"ABC"
"union_peak_11972","chr15",77071292,77072169,"DEF"
"union_peak_11977","chr15",77705150,77705911,"DE"
"union_peak_12014","chr15",78449232,78450794,"ABC"
"union_peak_12016","chr15",78462818,78463966,"AB"
"union_peak_12022","chr15",78510127,78511321,"ABC"
"union_peak_12033","chr15",78576291,78576933,"D"
"union_peak_12035","chr15",78588998,78590142,"ABC"
"union_peak_12036","chr15",78591527,78592512,"ABC"
"union_peak_12051","chr15",78834893,78835784,"ABC"
"union_peak_12062","chr15",78925936,78926731,"A"
"union_peak_12073","chr15",79051869,79053294,"A"
"union_peak_12130","chr15",80191822,80192839,"DE"
"union_peak_12138","chr15",80321625,80322193,"A"
"union_peak_12143","chr15",80537968,80539332,"DEF"
"union_peak_12154","chr15",80602235,80603218,"DE"
"union_peak_12160","chr15",80638850,80640363,"AB"
"union_peak_12168","chr15",80742905,80744023,"E"
"union_peak_12190","chr15",81097145,81098537,"DE"
"union_peak_12214","chr15",81819230,81820496,"BC"
"union_peak_12242","chr15",83037755,83038808,"DEF"
"union_peak_12243","chr15",83075619,83076479,"DE"
"union_peak_12269","chr15",84684392,84685133,"A"
"union_peak_12271","chr15",84896223,84897422,"AB"
"union_peak_12275","chr15",85042085,85043127,"D"
"union_peak_12277","chr15",85232901,85233755,"DEF"
"union_peak_12281","chr15",85455751,85456961,"DE"
"union_peak_12294","chr15",85990684,85991574,"DEF"
"union_peak_12326","chr15",88890696,88891901,"ABC"
"union_peak_12340","chr15",89282251,89283013,"DE"
"union_peak_12355","chr15",93228799,93229772,"ABC"
"union_peak_12356","chr15",93251447,93252908,"AB"
"union_peak_12375","chr15",94254912,94255488,"DEF"
"union_peak_12390","chr15",96376971,96377976,"AB"
"union_peak_12393","chr15",96497290,96498459,"DEF"
"union_peak_12417","chr15",96778022,96778938,"DE"
"union_peak_12427","chr15",97355636,97356626,"AB"
"union_peak_12435","chr15",97429272,97429945,"DEF"
"union_peak_12437","chr15",97455569,97456237,"DEF"
"union_peak_12444","chr15",97577723,97578508,"DEF"
"union_peak_12459","chr15",97841978,97843782,"E"
"union_peak_12476","chr15",98623206,98623936,"E"
"union_peak_12544","chr15",100060501,100061434,"DE"
"union_peak_12548","chr15",100123826,100124648,"DE"
"union_peak_12559","chr15",100418722,100419756,"E"
"union_peak_12560","chr15",100420166,100421086,"E"
"union_peak_12609","chr15",101258168,101259189,"D"
"union_peak_12615","chr15",101485648,101486692,"ABC"
"union_peak_12616","chr15",101977082,101977934,"A"
"union_peak_12623","chr15",102115353,102116376,"A"
"union_peak_12625","chr15",102147473,102148380,"AC"
"union_peak_12626","chr15",102149932,102151202,"ABC"
"union_peak_12642","chr15",102376999,102378735,"A"
"union_peak_12654","chr15",102525376,102527095,"D"
"union_peak_12661","chr15",103152433,103153602,"ABC"
"union_peak_12731","chr16",5445676,5446510,"DEF"
"union_peak_12732","chr16",5452777,5454493,"DEF"
"union_peak_12755","chr16",10584777,10585754,"DE"
"union_peak_12758","chr16",10668744,10669451,"DE"
"union_peak_12769","chr16",10814769,10815787,"DEF"
"union_peak_12775","chr16",10968819,10970026,"DE"
"union_peak_12791","chr16",11284765,11286166,"A"
"union_peak_12793","chr16",11327376,11328074,"A"
"union_peak_12797","chr16",11455747,11456805,"B"
"union_peak_12800","chr16",11475278,11476156,"AB"
"union_peak_12809","chr16",11896076,11897171,"A"
"union_peak_12847","chr16",16994248,16995230,"AB"
"union_peak_12851","chr16",17085188,17086843,"ABC"
"union_peak_12891","chr16",18492785,18493775,"AB"
"union_peak_12940","chr16",21835594,21836567,"DEF"
"union_peak_12952","chr16",22466161,22467054,"DE"
"union_peak_12953","chr16",22526085,22526841,"DEF"
"union_peak_12962","chr16",23143814,23145101,"DE"
"union_peak_12964","chr16",23165257,23166010,"DEF"
"union_peak_12965","chr16",23170840,23171543,"DEF"
"union_peak_12966","chr16",23174756,23175470,"DEF"
"union_peak_12967","chr16",23180999,23182257,"DEF"
"union_peak_12969","chr16",23195962,23197259,"DEF"
"union_peak_12970","chr16",23223309,23225231,"DE"
"union_peak_12971","chr16",23225526,23227065,"DEF"
"union_peak_12974","chr16",23274267,23275123,"EF"
"union_peak_12975","chr16",23279687,23280463,"DEF"
"union_peak_12976","chr16",23286308,23287141,"DEF"
"union_peak_12978","chr16",23327762,23328865,"E"
"union_peak_12979","chr16",23374670,23375710,"DEF"
"union_peak_12986","chr16",24091910,24093354,"DE"
"union_peak_12994","chr16",24215170,24216073,"A"
"union_peak_12995","chr16",24216568,24217898,"AB"
"union_peak_12996","chr16",24222618,24223852,"A"
"union_peak_13003","chr16",24504674,24505893,"ABC"
"union_peak_13005","chr16",24507747,24508356,"A"
"union_peak_13007","chr16",24538695,24539692,"DE"
"union_peak_13014","chr16",25425925,25427162,"E"
"union_peak_13016","chr16",27349073,27350556,"ABC"
"union_peak_13026","chr16",29981214,29982274,"A"
"union_peak_13028","chr16",30024385,30025396,"A"
"union_peak_13034","chr16",30176177,30176965,"D"
"union_peak_13051","chr16",30769217,30770012,"DE"
"union_peak_13053","chr16",30948071,30948973,"AB"
"union_peak_13068","chr16",31349427,31350271,"AB"
"union_peak_13090","chr16",32189465,32190429,"A"
"union_peak_13093","chr16",32207029,32207951,"ABC"
"union_peak_13103","chr16",32520147,32521121,"EF"
"union_peak_13104","chr16",32593666,32594852,"E"
"union_peak_13123","chr16",32972438,32973259,"DE"
"union_peak_13124","chr16",33011907,33013300,"EF"
"union_peak_13127","chr16",33052810,33053750,"A"
"union_peak_13154","chr16",33747064,33748137,"AB"
"union_peak_13157","chr16",33776419,33777373,"AB"
"union_peak_13169","chr16",35741483,35743078,"DE"
"union_peak_13170","chr16",35765096,35766121,"D"
"union_peak_13193","chr16",36686974,36688014,"B"
"union_peak_13203","chr16",36927089,36927978,"DEF"
"union_peak_13206","chr16",36985088,36986259,"ABC"
"union_peak_13221","chr16",38370969,38372541,"AB"
"union_peak_13223","chr16",38395778,38396715,"ABC"
"union_peak_13224","chr16",38399315,38400286,"AB"
"union_peak_13225","chr16",38402876,38404232,"AB"
"union_peak_13237","chr16",38678540,38679565,"C"
"union_peak_13281","chr16",44361678,44362640,"AB"
"union_peak_13284","chr16",44460747,44461673,"EF"
"union_peak_13318","chr16",45763507,45764496,"BC"
"union_peak_13337","chr16",48594263,48595011,"DEF"
"union_peak_13339","chr16",48671458,48672393,NA
"union_peak_13345","chr16",48800695,48801625,"DEF"
"union_peak_13351","chr16",49503274,49504309,"DE"
"union_peak_13354","chr16",49768834,49769165,"B"
"union_peak_13356","chr16",49771945,49773466,"ABC"
"union_peak_13357","chr16",49774390,49775373,"AB"
"union_peak_13360","chr16",49792359,49793622,"B"
"union_peak_13361","chr16",49798779,49799764,"B"
"union_peak_13366","chr16",49847359,49848159,"AC"
"union_peak_13370","chr16",49887506,49888813,"B"
"union_peak_13371","chr16",49906778,49908428,"ABC"
"union_peak_13373","chr16",49935637,49938240,"ABC"
"union_peak_13375","chr16",49969705,49970987,"ABC"
"union_peak_13389","chr16",50554756,50555691,"DEF"
"union_peak_13396","chr16",51690520,51691681,"DE"
"union_peak_13397","chr16",51704514,51705738,"E"
"union_peak_13398","chr16",51718806,51720175,"DE"
"union_peak_13399","chr16",51806956,51808127,"E"
"union_peak_13400","chr16",52006556,52007672,"DEF"
"union_peak_13407","chr16",52064347,52065316,"C"
"union_peak_13411","chr16",52094558,52096052,"AC"
"union_peak_13414","chr16",52142999,52143802,"D"
"union_peak_13420","chr16",52373959,52374853,"A"
"union_peak_13424","chr16",52468148,52469062,"A"
"union_peak_13425","chr16",52469878,52470662,"A"
"union_peak_13439","chr16",55664158,55665338,"B"
"union_peak_13441","chr16",55735192,55736075,"A"
"union_peak_13443","chr16",55753996,55755058,"AB"
"union_peak_13445","chr16",55786549,55789105,"A"
"union_peak_13469","chr16",56133351,56134609,"A"
"union_peak_13479","chr16",57402519,57403441,"DE"
"union_peak_13481","chr16",57421134,57423933,"D"
"union_peak_13493","chr16",58465193,58466216,"A"
"union_peak_13501","chr16",58542940,58543684,"A"
"union_peak_13502","chr16",58545613,58546909,"ABC"
