"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"297","chr12",59169685,59170395,"union_peak_12062","chr12",59169678,59170552,"union_peak_7457",710
"298","chr11",57958141,57958773,"union_peak_8075","chr11",57958071,57958811,"union_peak_5079",632
"299","chr2",166227317,166227892,"union_peak_31928","chr2",166227274,166228047,"union_peak_19852",575
"300","chr15",5561472,5562396,"union_peak_18035","chr15",5561521,5562320,"union_peak_11195",799
"301","chr12",100164840,100165480,"union_peak_12908","chr12",100164755,100165606,"union_peak_7981",640
"302","chr3",103493822,103494694,"union_peak_34100","chr3",103493729,103494708,"union_peak_21231",872
"303","chr4",6970412,6970988,"union_peak_35151","chr4",6970224,6971142,"union_peak_21913",576
"304","chr16",95815768,95816417,"union_peak_22203","chr16",95815690,95816705,"union_peak_13842",649
"305","chr2",157121680,157122272,"union_peak_31604","chr2",157121565,157122295,"union_peak_19690",592
"306","chr17",84408684,84409918,"union_peak_24755","chr17",84408060,84409902,"union_peak_15435_1",1218
"307","chr11",32125757,32127074,"union_peak_7342","chr11",32125698,32126679,"union_peak_4640",922
"308","chr15",73117509,73118421,"union_peak_19007","chr15",73117586,73118501,"union_peak_11844",835
"309","chr7",64184998,64185789,"union_peak_45985","chr7",64185013,64185930,"union_peak_28784",776
"310","chr9",94945495,94946430,"union_peak_52821","chr9",94945453,94946500,"union_peak_32896",935
"311","chr6",38581694,38582337,"union_peak_42085","chr6",38581351,38582374,"union_peak_26288",643
"312","chr6",120799549,120800428,"union_peak_43794","chr6",120799586,120800392,"union_peak_27342",806
"313","chr4",135904690,135905494,"union_peak_37528","chr4",135904583,135905506,"union_peak_23446",804
"314","chr9",11578791,11579412,"union_peak_50757","chr9",11578894,11579575,"union_peak_31642",518
"315","chr15",85455753,85456860,"union_peak_19755","chr15",85455750,85456961,"union_peak_12281",1107
"316","chr13",95449189,95450070,"union_peak_15406","chr13",95449014,95450177,"union_peak_9498",881
"317","chr19",30118458,30119209,"union_peak_27329","chr19",30118399,30119213,"union_peak_17011",751
"318","chr18",31806956,31807510,"union_peak_25237","chr18",31806626,31807566,"union_peak_15733",554
"319","chr6",99485975,99486696,"union_peak_43375","chr6",99485205,99486824,"union_peak_27083",721
"320","chr15",85990755,85991547,"union_peak_19785","chr15",85990683,85991574,"union_peak_12294",792
"321","chr11",31999504,32000688,"union_peak_7329","chr11",31999450,32000678,"union_peak_4631",1174
"322","chr6",73279445,73280217,"union_peak_42834","chr6",73279316,73280286,"union_peak_26779",772
"323","chr7",24450345,24451038,"union_peak_45042","chr7",24450250,24451030,"union_peak_28190",685
"324","chr15",80602374,80603182,"union_peak_19531","chr15",80602234,80603218,"union_peak_12154",808
"325","chr7",125507305,125507763,"union_peak_47401","chr7",125507269,125507850,"union_peak_29641",458
"326","chr10",42698979,42699400,"union_peak_4517","chr10",42698335,42699519,"union_peak_2834",421
"327","chr9",115560990,115561716,"union_peak_53419","chr9",115560965,115561946,"union_peak_33293",726
"328","chr10",18193054,18193737,"union_peak_3915","chr10",18192991,18193799,"union_peak_2443",683
"329","chr11",87678840,87679625,"union_peak_9469","chr11",87678804,87679764,"union_peak_5911",785
"330","chr11",32061699,32062512,"union_peak_7337","chr11",32061491,32062544,"union_peak_4637",813
"331","chr4",135911364,135912011,"union_peak_37529","chr4",135911244,135912124,"union_peak_23447",647
"332","chr5",103366859,103367639,"union_peak_39792","chr5",103366876,103367639,"union_peak_24890",763
"333","chr6",120199383,120199970,"union_peak_43766","chr6",120199194,120200164,"union_peak_27324",587
"334","chr13",81675228,81675975,"union_peak_15231","chr13",81675316,81676125,"union_peak_9386",659
"335","chr11",105444600,105445301,"union_peak_10373","chr11",105444451,105445565,"union_peak_6451",701
"336","chr1",64085666,64086501,"union_peak_993","chr1",64085547,64086467,"union_peak_640",801
"337","chr17",23616920,23617688,"union_peak_22686","chr17",23616865,23617602,"union_peak_14139",682
"338","chr12",79692033,79692786,"union_peak_12455","chr12",79691856,79692786,"union_peak_7716",753
"339","chr1",9882910,9883685,"union_peak_39","chr1",9882791,9883702,"union_peak_31",775
"340","chr4",155209183,155210092,"union_peak_38198","chr4",155209275,155210274,"union_peak_23858",817
"341","chr19",33265057,33265752,"union_peak_27415","chr19",33264721,33265743,"union_peak_17072",686
"342","chr19",10771889,10772421,"union_peak_26913","chr19",10771756,10772368,"union_peak_16747",479
"343","chr9",61054342,61054976,"union_peak_52013","chr9",61054481,61054994,"union_peak_32384",495
"344","chr13",38049534,38050472,"union_peak_14313","chr13",38049524,38050353,"union_peak_8823",819
"345","chr11",120760197,120760842,"union_peak_11214","chr11",120759924,120760917,"union_peak_6939",645
"346","chr2",70932992,70933664,"union_peak_29849","chr2",70932763,70933544,"union_peak_18601",552
"347","chr1",183179651,183180972,"union_peak_3398","chr1",183179703,183180744,"union_peak_2124",1041
"348","chr1",64136055,64136802,"union_peak_1002","chr1",64136029,64136882,"union_peak_644",747
"349","chr6",83437316,83437619,"union_peak_42914","chr6",83436983,83437817,"union_peak_26828",303
"350","chr5",89044607,89045416,"union_peak_39571","chr5",89044395,89045417,"union_peak_24735",809
"351","chr5",107840418,107841163,"union_peak_39961","chr5",107840346,107841327,"union_peak_25014",745
"352","chr8",34945079,34945591,"union_peak_48599","chr8",34944712,34945583,"union_peak_30353",504
"353","chr1",136600599,136601187,"union_peak_2249","chr1",136600508,136601330,"union_peak_1384",588
"354","chr13",114150885,114151752,"union_peak_15880","chr13",114151009,114151665,"union_peak_9829",656
"355","chr8",85624202,85624989,"union_peak_49430","chr8",85623144,85625064,"union_peak_30875_1",787
"356","chr2",128197061,128197883,"union_peak_30949","chr2",128196909,128197977,"union_peak_19321",822
"357","chr5",67299878,67300698,"union_peak_39332","chr5",67299449,67300692,"union_peak_24581",814
"358","chr12",25013031,25013623,"union_peak_11631","chr12",25012798,25013773,"union_peak_7184",592
"359","chr5",134332541,134333489,"union_peak_40926","chr5",134332460,134333449,"union_peak_25600",908
"360","chr5",74132453,74133217,"union_peak_39449","chr5",74132513,74133390,"union_peak_24658",704
"361","chr9",72890581,72891215,"union_peak_52506","chr9",72890095,72891346,"union_peak_32682",634
"362","chr18",32597890,32598589,"union_peak_25269","chr18",32597758,32598755,"union_peak_15749",699
"363","chr4",57730719,57731782,"union_peak_35881","chr4",57730790,57731748,"union_peak_22406",958
"364","chr7",127628497,127629115,"union_peak_47582","chr7",127628414,127629381,"union_peak_29770",618
"365","chr9",62260787,62261915,"union_peak_52104","chr9",62260845,62261911,"union_peak_32431",1066
"366","chr13",43774870,43775736,"union_peak_14447","chr13",43774697,43775606,"union_peak_8900",736
"367","chr4",62551772,62552609,"union_peak_35979","chr4",62551761,62552728,"union_peak_22488",837
"368","chr16",36927302,36927906,"union_peak_21320","chr16",36927088,36927978,"union_peak_13203",604
"369","chr15",58174882,58175541,"union_peak_18660","chr15",58174744,58175580,"union_peak_11619",659
"370","chr18",34827250,34828170,"union_peak_25330","chr18",34827013,34828131,"union_peak_15788",881
"371","chr7",122932041,122932703,"union_peak_47351","chr7",122931904,122932840,"union_peak_29608",662
"372","chr19",33053013,33053675,"union_peak_27405","chr19",33052890,33053762,"union_peak_17064",662
"373","chr19",55407938,55409078,"union_peak_28053","chr19",55407752,55409097,"union_peak_17458",1140
"374","chr6",128025411,128026094,"union_peak_44026","chr6",128025337,128026264,"union_peak_27504",683
"375","chr13",24230465,24231510,"union_peak_13988","chr13",24230587,24231603,"union_peak_8649",923
"376","chr11",32013105,32014096,"union_peak_7332","chr11",32013284,32014098,"union_peak_4634",812
"377","chr4",155049979,155050525,"union_peak_38181","chr4",155049851,155050775,"union_peak_23847",546
"378","chr19",55792432,55793304,"union_peak_28064","chr19",55792312,55793178,"union_peak_17461",746
"379","chr19",3730856,3731709,"union_peak_26475","chr19",3730727,3731848,"union_peak_16473",853
"380","chr2",11616627,11617308,"union_peak_28473","chr2",11616784,11617235,"union_peak_17715",451
"381","chr14",49155456,49156003,"union_peak_16620","chr14",49154970,49156312,"union_peak_10283",547
"382","chr8",83611879,83612391,"union_peak_49276","chr8",83611971,83612371,"union_peak_30780",400
"383","chr18",41979136,41980029,"union_peak_25577","chr18",41979289,41980040,"union_peak_15925",740
"384","chr4",149282205,149283187,"union_peak_37949","chr4",149282163,149283186,"union_peak_23716",981
"385","chr2",158132843,158133552,"union_peak_31637","chr2",158132811,158133614,"union_peak_19709",709
"386","chr14",99449079,99450336,"union_peak_17652","chr14",99449060,99450366,"union_peak_10964",1257
"387","chr7",30940111,30940680,"union_peak_45433","chr7",30940127,30940644,"union_peak_28423",517
"388","chr15",73522987,73523726,"union_peak_19031","chr15",73522951,73523669,"union_peak_11863",682
"389","chr10",19116903,19117418,"union_peak_3952","chr10",19116819,19117581,"union_peak_2467",515
"390","chr15",6726247,6726822,"union_peak_18078","chr15",6726224,6726923,"union_peak_11227",575
"391","chr16",30769081,30769880,"union_peak_21066","chr16",30769216,30770012,"union_peak_13051",664
"392","chr6",142954698,142955303,"union_peak_44427","chr6",142954756,142955266,"union_peak_27789",510
"393","chr8",85623261,85623695,"union_peak_49429","chr8",85623144,85625064,"union_peak_30875_2",434
"394","chr3",38282819,38283267,"union_peak_32815","chr3",38282704,38283920,"union_peak_20401_1",448
"395","chr11",62038561,62039317,"union_peak_8290","chr11",62038537,62039267,"union_peak_5207",706
"396","chr16",95778785,95779701,"union_peak_22200","chr16",95778669,95779703,"union_peak_13840",916
"397","chr8",46543051,46543744,"union_peak_48706","chr8",46542897,46543588,"union_peak_30433",537
"398","chr2",164534112,164534776,"union_peak_31817","chr2",164534095,164534767,"union_peak_19798",655
"399","chr14",31570139,31570794,"union_peak_16428","chr14",31570247,31570870,"union_peak_10175",547
"400","chr3",127868115,127868900,"union_peak_34546","chr3",127867927,127868943,"union_peak_21520",785
"401","chr6",120934078,120934750,"union_peak_43806","chr6",120933910,120934652,"union_peak_27348",574
"402","chr11",32095652,32096564,"union_peak_7338","chr11",32095491,32096426,"union_peak_4638",774
"403","chr16",78606096,78606799,"union_peak_21877","chr16",78605834,78607316,"union_peak_13628",703
"404","chr19",46714066,46714670,"union_peak_27869","chr19",46713902,46714766,"union_peak_17339",604
"405","chr11",108052107,108052896,"union_peak_10528","chr11",108052341,108053483,"union_peak_6549",555
"406","chr14",55946163,55946829,"union_peak_16904","chr14",55945054,55946746,"union_peak_10469",583
"407","chr11",49810835,49811433,"union_peak_7702","chr11",49810848,49812057,"union_peak_4842_1",585
"408","chr18",80535659,80536563,"union_peak_26275","chr18",80535716,80536705,"union_peak_16341",847
"409","chr6",142572778,142573306,"union_peak_44398","chr6",142570930,142573450,"union_peak_27766",528
"410","chr7",114616730,114617291,"union_peak_47178","chr7",114616662,114617569,"union_peak_29496",561
"411","chr13",115096898,115097447,"union_peak_15908","chr13",115096841,115099620,"union_peak_9847_1",549
"412","chr2",60845235,60845823,"union_peak_29679","chr2",60845311,60846194,"union_peak_18483",512
"413","chr13",113061639,113062434,"union_peak_15831","chr13",113060928,113062324,"union_peak_9791_1",685
"414","chr2",79001309,79001749,"union_peak_30075","chr2",79001190,79002027,"union_peak_18749",440
"415","chr14",67911462,67912185,"union_peak_17242","chr14",67911392,67912334,"union_peak_10691",723
"416","chr13",113226893,113227447,"union_peak_15850","chr13",113226780,113227836,"union_peak_9807",554
"417","chr6",130136348,130136921,"union_peak_44160","chr6",130135963,130136805,"union_peak_27602",457
"418","chr6",130102702,130103278,"union_peak_44159","chr6",130102359,130103568,"union_peak_27601",576
"419","chr2",11360962,11361358,"union_peak_28459","chr2",11359752,11361598,"union_peak_17704_1",396
"420","chr1",64756431,64757661,"union_peak_1024","chr1",64756324,64757718,"union_peak_664",1230
"421","chr8",128650354,128650713,"union_peak_50690","chr8",128650340,128650638,"union_peak_31585",284
"422","chr19",20409316,20410420,"union_peak_27154","chr19",20409251,20410688,"union_peak_16904",1104
"423","chr14",71113134,71114083,"union_peak_17338","chr14",71112989,71114189,"union_peak_10750",949
"424","chr16",38370932,38371293,"union_peak_21350","chr16",38370968,38372541,"union_peak_13221",325
"425","chr19",40665812,40666190,"union_peak_27578","chr19",40665724,40666454,"union_peak_17178",378
"426","chr2",60165575,60166447,"union_peak_29651","chr2",60165528,60166602,"union_peak_18464",872
"427","chr19",40617736,40618369,"union_peak_27573","chr19",40617559,40618501,"union_peak_17174",633
"428","chr15",66898922,66899272,"union_peak_18958","chr15",66898724,66900105,"union_peak_11808",350
"429","chr3",28244208,28244870,"union_peak_32661","chr3",28243861,28244725,"union_peak_20293",517
"430","chr6",129997519,129997886,"union_peak_44155","chr6",129997114,129997976,"union_peak_27597",367
"431","chr1",155201208,155201795,"union_peak_2581","chr1",155201055,155201761,"union_peak_1598",553
"432","chr2",66126950,66127298,"union_peak_29762","chr2",66126541,66127574,"union_peak_18542",348
"433","chr18",23733788,23734113,"union_peak_25168","chr18",23733694,23735335,"union_peak_15689_1",325
"434","chr4",84007741,84008467,"union_peak_36128","chr4",84007704,84008462,"union_peak_22577",721
"435","chr19",17167964,17168801,"union_peak_27115","chr19",17168054,17168774,"union_peak_16881",720
"436","chr4",89043892,89044343,"union_peak_36224","chr4",89043789,89044522,"union_peak_22641",451
"437","chr11",21447965,21448423,"union_peak_7204","chr11",21447642,21448747,"union_peak_4548",458
"438","chr15",66824678,66826356,"union_peak_18946","chr15",66824836,66826400,"union_peak_11800",1520
"439","chr6",120452922,120453616,"union_peak_43776","chr6",120452705,120453813,"union_peak_27328",694
"440","chr19",46728532,46729484,"union_peak_27871","chr19",46728514,46729665,"union_peak_17340",952
"441","chr16",93391945,93392760,"union_peak_22102","chr16",93391901,93392838,"union_peak_13772",815
"442","chr12",104990582,104991368,"union_peak_13099","chr12",104990353,104991350,"union_peak_8093",768
"443","chr10",118095999,118096709,"union_peak_6347","chr10",118095906,118096783,"union_peak_3978",710
"444","chr1",52578035,52578911,"union_peak_654","chr1",52577756,52579224,"union_peak_417",876
"445","chr5",36088959,36089976,"union_peak_38875","chr5",36088806,36090003,"union_peak_24286",1017
"446","chr6",119198510,119199566,"union_peak_43700","chr6",119198109,119199601,"union_peak_27282",1056
"447","chr17",5016844,5018013,"union_peak_22307","chr17",5016811,5018067,"union_peak_13899",1169
"448","chr19",46705452,46706429,"union_peak_27866","chr19",46705245,46707293,"union_peak_17338",977
"449","chr19",21912927,21914335,"union_peak_27181","chr19",21912791,21914549,"union_peak_16923",1408
"450","chr11",116136271,116136755,"union_peak_10829","chr11",116136179,116136934,"union_peak_6716",484
"451","chr8",13662893,13663536,"union_peak_48248","chr8",13662734,13663697,"union_peak_30138",643
"452","chr15",84896229,84897047,"union_peak_19740","chr15",84896222,84897422,"union_peak_12271",818
"453","chr9",120039306,120039946,"union_peak_53579","chr9",120039178,120039964,"union_peak_33383",640
"454","chr2",181410658,181411600,"union_peak_32397","chr2",181410325,181411583,"union_peak_20118",925
"455","chr17",35526587,35527331,"union_peak_23634","chr17",35526589,35527262,"union_peak_14701",673
"456","chr12",16580288,16581173,"union_peak_11492","chr12",16580303,16580972,"union_peak_7105",669
"457","chr14",67951077,67952034,"union_peak_17247","chr14",67950955,67952033,"union_peak_10695",956
"458","chr16",30948065,30948835,"union_peak_21068","chr16",30948070,30948973,"union_peak_13053",765
"459","chr9",21249984,21250575,"union_peak_50938","chr9",21249945,21250618,"union_peak_31760",591
"460","chr8",128594241,128595733,"union_peak_50681","chr8",128594079,128595672,"union_peak_31580",1431
"461","chr8",91081874,91082819,"union_peak_49536","chr8",91081698,91083076,"union_peak_30943",945
"462","chr8",36081723,36083091,"union_peak_48637","chr8",36081669,36083204,"union_peak_30383",1368
"463","chr11",108068275,108068882,"union_peak_10529","chr11",108067936,108069157,"union_peak_6550",607
"464","chr17",71287955,71288730,"union_peak_24410","chr17",71287643,71288748,"union_peak_15189",775
"465","chr6",130386731,130387470,"union_peak_44167","chr6",130386430,130387884,"union_peak_27610",739
"466","chr1",127637727,127638539,"union_peak_1905","chr1",127637478,127638719,"union_peak_1185",812
"467","chr10",17565070,17565696,"union_peak_3878","chr10",17564899,17566862,"union_peak_2420_1",626
"468","chr15",66806368,66806825,"union_peak_18941","chr15",66806081,66806933,"union_peak_11797",457
"469","chr7",135580663,135581443,"union_peak_47766","chr7",135580559,135581563,"union_peak_29893",780
"470","chr6",122269124,122269594,"union_peak_43834","chr6",122268839,122270718,"union_peak_27367_1",470
"471","chr12",12320589,12321162,"union_peak_11433","chr12",12320501,12321354,"union_peak_7073",573
"472","chr13",97857641,97858358,"union_peak_15494","chr13",97857435,97858481,"union_peak_9563",717
"473","chr6",129917478,129918081,"union_peak_44153","chr6",129916966,129918248,"union_peak_27596",603
"474","chr6",130197481,130198116,"union_peak_44162","chr6",130197439,130198292,"union_peak_27605",635
"475","chr6",99811046,99811854,"union_peak_43387","chr6",99811147,99811966,"union_peak_27094",707
"476","chr19",60212352,60213356,"union_peak_28184","chr19",60212195,60213474,"union_peak_17533",1004
"477","chr1",60530263,60531199,"union_peak_897","chr1",60530095,60531335,"union_peak_576",936
"478","chr9",21246402,21246811,"union_peak_50936","chr9",21246193,21246786,"union_peak_31759",384
"479","chr5",64474891,64475238,"union_peak_39150","chr5",64474660,64475168,"union_peak_24456",277
"480","chr8",94458571,94459111,"union_peak_49600","chr8",94458137,94458984,"union_peak_30976",413
"481","chr9",114016166,114016861,"union_peak_53345","chr9",114015989,114016995,"union_peak_33250",695
"482","chr16",24507880,24508326,"union_peak_20974","chr16",24507746,24508356,"union_peak_13005",446
"483","chr1",138289839,138290417,"union_peak_2315","chr1",138289123,138290703,"union_peak_1424",578
"484","chr5",21227010,21227664,"union_peak_38414","chr5",21226916,21228038,"union_peak_24037",654
"485","chr6",142554238,142554934,"union_peak_44393","chr6",142554105,142555131,"union_peak_27764",696
"486","chr6",52473649,52474414,"union_peak_42458","chr6",52473743,52474653,"union_peak_26519",671
"487","chr11",107407585,107408362,"union_peak_10498","chr11",107407565,107408394,"union_peak_6529",777
"488","chr15",97355575,97356463,"union_peak_20000","chr15",97355635,97356626,"union_peak_12427",828
"489","chr6",130031549,130032145,"union_peak_44156","chr6",130031086,130032374,"union_peak_27598",596
"490","chr2",6462112,6462866,"union_peak_28332","chr2",6462012,6462960,"union_peak_17631",754
"491","chr10",118404389,118404910,"union_peak_6361","chr10",118404238,118404991,"union_peak_3989",521
"492","chr10",41978449,41979332,"union_peak_4489","chr10",41978217,41979865,"union_peak_2817",883
"493","chr1",144300603,144301819,"union_peak_2411","chr1",144300373,144302212,"union_peak_1492",1216
"494","chr13",95764874,95765519,"union_peak_15437","chr13",95764661,95765811,"union_peak_9514",645
"495","chr13",38501223,38501796,"union_peak_14323","chr13",38501181,38501968,"union_peak_8827",573
"496","chr16",77108738,77109285,"union_peak_21852","chr16",77108353,77109408,"union_peak_13603",547
"497","chr5",113672441,113672869,"union_peak_40176","chr5",113672170,113672839,"union_peak_25134",398
"498","chr6",142538417,142539240,"union_peak_44392","chr6",142538280,142539259,"union_peak_27763",823
"499","chr15",59597657,59598015,"union_peak_18718","chr15",59596154,59598162,"union_peak_11656",358
"500","chr6",114679177,114679929,"union_peak_43571","chr6",114678951,114680117,"union_peak_27213",752
"501","chr11",77622103,77622584,"union_peak_8964","chr11",77622095,77622671,"union_peak_5602",481
"502","chr6",130341886,130342707,"union_peak_44166","chr6",130341564,130342850,"union_peak_27609",821
"503","chr4",6218576,6219432,"union_peak_35113","chr4",6218224,6219399,"union_peak_21886",823
"504","chr9",107747098,107747844,"union_peak_53158","chr9",107747038,107748072,"union_peak_33115",746
"505","chr13",112396485,112397020,"union_peak_15791","chr13",112396341,112399268,"union_peak_9762",535
"506","chr10",26228183,26228550,"union_peak_4201","chr10",26227917,26230177,"union_peak_2627_1",367
"507","chr1",138297998,138298498,"union_peak_2317","chr1",138297973,138298837,"union_peak_1426",500
"508","chr6",8531244,8532056,"union_peak_41696","chr6",8531048,8532127,"union_peak_26039",812
"509","chr15",37436064,37436444,"union_peak_18462","chr15",37435820,37437726,"union_peak_11470",380
"510","chr3",106996077,106996820,"union_peak_34243","chr3",106995926,106996830,"union_peak_21323",743
"511","chr17",80169836,80170141,"union_peak_24586","chr17",80169689,80170261,"union_peak_15323",305
"512","chr15",78589624,78589862,"union_peak_19335","chr15",78588997,78590142,"union_peak_12035_1",238
"513","chr11",87965322,87965787,"union_peak_9498","chr11",87964573,87966217,"union_peak_5925",465
"514","chr11",118265684,118267246,"union_peak_11035","chr11",118265699,118266754,"union_peak_6833",1055
"515","chr6",130311774,130312310,"union_peak_44165","chr6",130311372,130312391,"union_peak_27608",536
"516","chr19",41365528,41366137,"union_peak_27620","chr19",41365323,41367569,"union_peak_17206",609
"517","chr6",38669522,38670225,"union_peak_42090","chr6",38669434,38670590,"union_peak_26290",703
"518","chr6",52965262,52965893,"union_peak_42475","chr6",52964322,52966120,"union_peak_26525_1",631
"519","chr14",67841519,67842187,"union_peak_17235","chr14",67841424,67842632,"union_peak_10689",668
"520","chr7",128137134,128138072,"union_peak_47633","chr7",128137088,128138203,"union_peak_29802",938
"521","chr7",67531263,67531936,"union_peak_46083","chr7",67530160,67531961,"union_peak_28852",673
"522","chr10",111635328,111636613,"union_peak_6180","chr10",111635414,111636336,"union_peak_3872",922
"523","chr18",23734628,23735355,"union_peak_25169","chr18",23733694,23735335,"union_peak_15689_2",707
"524","chr1",162586129,162586820,"union_peak_2784","chr1",162586059,162586859,"union_peak_1733",691
"525","chr7",4062913,4063450,"union_peak_44636","chr7",4062443,4063982,"union_peak_27916",537
"526","chr9",66265628,66266242,"union_peak_52296","chr9",66264603,66266714,"union_peak_32547_1",614
"527","chr5",3488229,3489250,"union_peak_38305","chr5",3488349,3489059,"union_peak_23945",710
"528","chr16",58543120,58543584,"union_peak_21742","chr16",58542939,58543684,"union_peak_13501",464
"529","chr2",11360034,11360559,"union_peak_28458","chr2",11359752,11361598,"union_peak_17704_2",525
"530","chr19",24526824,24527796,"union_peak_27201","chr19",24526808,24527984,"union_peak_16936",972
"531","chr12",107144480,107144870,"union_peak_13146","chr12",107144369,107145362,"union_peak_8123",390
"532","chr2",52455571,52456403,"union_peak_29540","chr2",52455821,52456604,"union_peak_18385",582
"533","chr9",32660220,32660786,"union_peak_51137","chr9",32659954,32662165,"union_peak_31882",566
"534","chr10",26202848,26203320,"union_peak_4199","chr10",26202743,26203857,"union_peak_2626",472
"535","chr14",73175572,73176200,"union_peak_17374","chr14",73175515,73176280,"union_peak_10773",628
"536","chr17",21214366,21215036,"union_peak_22631","chr17",21214222,21215026,"union_peak_14093",660
"537","chr5",24746867,24747418,"union_peak_38545","chr5",24746868,24747700,"union_peak_24114",550
"538","chr6",130237636,130238364,"union_peak_44163","chr6",130237299,130238520,"union_peak_27606",728
"539","chr4",62455877,62456871,"union_peak_35970","chr4",62455983,62457697,"union_peak_22481",888
"540","chr18",82559895,82560639,"union_peak_26358","chr18",82559195,82560553,"union_peak_16397",658
"541","chr16",59451690,59452406,"union_peak_21762","chr16",59451609,59452351,"union_peak_13519",661
"542","chrX",103393745,103394501,"union_peak_54656","chrX",103393575,103394603,"union_peak_34070",756
"543","chr11",121610187,121610803,"union_peak_11265","chr11",121610181,121611075,"union_peak_6968",616
"544","chr6",120255338,120256106,"union_peak_43768","chr6",120255460,120256515,"union_peak_27325",646
"545","chr14",105287690,105288869,"union_peak_17723","chr14",105287693,105288688,"union_peak_11011",995
"546","chr3",59206007,59206447,"union_peak_33058","chr3",59205855,59206575,"union_peak_20561",440
"547","chr13",65069948,65070540,"union_peak_15068","chr13",65069600,65070741,"union_peak_9269",592
"548","chr12",31996740,31997500,"union_peak_11756","chr12",31995926,31997548,"union_peak_7264",760
"549","chr7",128166090,128166933,"union_peak_47636","chr7",128166018,128167134,"union_peak_29805",843
"550","chr7",122316422,122317816,"union_peak_47329","chr7",122316295,122318094,"union_peak_29592",1394
"551","chr16",11896262,11896861,"union_peak_20651","chr16",11896075,11897171,"union_peak_12809",599
"552","chr11",115338628,115339137,"union_peak_10741","chr11",115338432,115339247,"union_peak_6656",509
"553","chr15",66718279,66719016,"union_peak_18930","chr15",66718116,66719234,"union_peak_11789",737
"554","chr2",13233064,13233718,"union_peak_28510","chr2",13232841,13234041,"union_peak_17740",654
"555","chr5",97964423,97965009,"union_peak_39706","chr5",97964092,97965314,"union_peak_24827",586
"556","chr15",61448261,61448977,"union_peak_18782","chr15",61448281,61449049,"union_peak_11697",696
"557","chr9",78073599,78074480,"union_peak_52602","chr9",78073394,78074532,"union_peak_32747",881
"558","chr2",125735251,125736117,"union_peak_30817","chr2",125735165,125736162,"union_peak_19236",866
"559","chr11",72203006,72203245,"union_peak_8654","chr11",72202696,72203416,"union_peak_5429",239
"560","chr3",115675857,115676174,"union_peak_34379","chr3",115675781,115676306,"union_peak_21409",317
"561","chr7",3444567,3445108,"union_peak_44620","chr7",3444535,3445394,"union_peak_27907",541
"562","chr12",79539985,79540738,"union_peak_12445","chr12",79539766,79540790,"union_peak_7709",753
"563","chr12",25269596,25270295,"union_peak_11669","chr12",25269215,25270417,"union_peak_7207",699
"564","chr16",52468377,52468803,"union_peak_21645","chr16",52468147,52469062,"union_peak_13424",426
"565","chr12",21457186,21457536,"union_peak_11592","chr12",21456962,21457719,"union_peak_7166",350
"566","chr2",32164637,32164888,"union_peak_29139","chr2",32164542,32165901,"union_peak_18128",251
"567","chr14",105271973,105272788,"union_peak_17722","chr14",105271790,105272748,"union_peak_11010",775
"568","chr6",65611915,65612484,"union_peak_42649","chr6",65611639,65612480,"union_peak_26628",565
"569","chr6",122282571,122283137,"union_peak_43836","chr6",122282521,122283660,"union_peak_27368_1",566
"570","chr2",68978576,68979302,"union_peak_29795","chr2",68978501,68979298,"union_peak_18564",722
"571","chr6",99064208,99064685,"union_peak_43330","chr6",99063966,99064916,"union_peak_27046",477
"572","chr2",11801284,11802007,"union_peak_28494","chr2",11801391,11802251,"union_peak_17729",616
"573","chr9",94610636,94611081,"union_peak_52811","chr9",94610304,94610828,"union_peak_32889",192
"574","chr13",38334952,38335832,"union_peak_14322","chr13",38334871,38335883,"union_peak_8826",880
"575","chr11",53128541,53129139,"union_peak_7864","chr11",53128381,53129329,"union_peak_4949",598
"576","chr11",73131989,73132477,"union_peak_8709","chr11",73131849,73133117,"union_peak_5459",488
"577","chr12",16210276,16211188,"union_peak_11482","chr12",16210314,16211612,"union_peak_7099",874
"578","chrX",76598857,76599119,"union_peak_54469","chrX",76598599,76599129,"union_peak_33972",262
"579","chr16",52470133,52470707,"union_peak_21646","chr16",52469877,52470662,"union_peak_13425",529
"580","chr18",67733339,67734114,"union_peak_25990","chr18",67732913,67734490,"union_peak_16170",775
"581","chr2",45187328,45188082,"union_peak_29492","chr2",45186900,45188144,"union_peak_18351",754
"582","chr8",111964326,111964674,"union_peak_49981","chr8",111964165,111964793,"union_peak_31207",348
"583","chr5",31012512,31013196,"union_peak_38664","chr5",31012512,31013284,"union_peak_24174",684
"584","chr19",21897202,21897843,"union_peak_27180","chr19",21896960,21898130,"union_peak_16922",641
"585","chr2",73070402,73071351,"union_peak_29938","chr2",73070334,73071196,"union_peak_18651",794
"586","chr2",44166649,44167091,"union_peak_29446","chr2",44165551,44167647,"union_peak_18329_1",442
"587","chr1",61423243,61423651,"union_peak_963","chr1",61422986,61424604,"union_peak_622",408
"588","chr14",121408842,121409313,"union_peak_17869","chr14",121408667,121409474,"union_peak_11088",471
"589","chr2",68881919,68882535,"union_peak_29792","chr2",68881794,68882505,"union_peak_18559",586
"590","chr6",52964461,52964812,"union_peak_42474","chr6",52964322,52966120,"union_peak_26525_2",351
"591","chr10",44537684,44538302,"union_peak_4602","chr10",44537587,44538526,"union_peak_2888",618
